train_number,train_name,source,destination,running_days
22164,MAHAMANA EXP,KHAJURAHO,BHOPAL JN,1111111
22165,BPL SGRL SUP EXP,BHOPAL JN,SINGRAULI,110010
22166,SGRL BPL SF EXP,SINGRAULI,BHOPAL JN,101100
22167,SGRL NZM SF EXP,SINGRAULI,H NIZAMUDDIN,10001
22174,JBP CAF SUF EXP,JABALPUR,CHANDA FORT,101100
22168,NZM SGRL SF EXP,H NIZAMUDDIN,SINGRAULI,1001000
22175,NGP JAIPUR SF EXP,NAGPUR,JAIPUR,1000
22176,JAIPUR NGP SF EXP,JAIPUR,NAGPUR,100
22178,MAHANAGARI EXP,VARANASI JN,C SHIVAJI TERM MUMBAI,1111111
22179,LTT CHENNAI  EXP,LOKMANYATILAK T,CHENNAI CENTRAL,1000000
22177,MAHANAGARI EXP,C SHIVAJI TERM MUMBAI,VARANASI JN,1111111
22181,JBP  NZM SUP EXP,JABALPUR,H NIZAMUDDIN,1111111
22180,CHENNAI LTT EXP,CHENNAI CENTRAL,LOKMANYATILAK T,100000
22184,SAKET EXPRESS,AYODHYA CANT,LOKMANYATILAK T,1001
22182,NZM JBP SF EXP,H NIZAMUDDIN,JABALPUR,1111111
22183,SAKET EXPRESS,LOKMANYATILAK T,AYODHYA CANT,10010
22185,AHIMSA EXPRESS,AHMEDABAD JN,PUNE JN,1000
22188,INTERCITY EXPRES,ADHARTAL,RANI KAMLAPATI,1111111
22187,INTERCITY EXPRES,RANI KAMLAPATI,ADHARTAL,1111111
22190,INTERCITY EXP,REWA,JABALPUR,1111111
22186,AHIMSA EXPRESS,PUNE JN,AHMEDABAD JN,10000
22189,INTERCITY EXP,JABALPUR,REWA,1111111
22191,INDB JBP EXP,INDORE JN BG,JABALPUR,1111111
22192,JBP INDB EXP,JABALPUR,INDORE JN BG,1111111
22193,DAUND GWALIOR EXP,DAUND JN,GWALIOR,1
22195,JHS BDTS EXP,V LAKSHMIBAI JHANSI,BANDRA TERMINUS,1000001
22194,GWL DAUND EXP,GWALIOR,DAUND JN,10
22196,BDTS JHANSI EXP,BANDRA TERMINUS,V LAKSHMIBAI JHANSI,110000
22198,PRATHAM S SNGRM,V LAKSHMIBAI JHANSI,KOLKATA,100
22199,GD SUSHASAN EXP,GWALIOR,BALRAMPUR,10000
22197,PRATHAM S S EXP,KOLKATA,V LAKSHMIBAI JHANSI,1
22200,GWL SUSHASAN EXP,BALRAMPUR,GWALIOR,1000
22306,JSME SMVT EXP,JASIDIH JN,SMVT BENGALURU,100
22307,HWH BKN EXPRESS,HOWRAH JN,BIKANER JN,1001100
22305,SMVB JSME EXP,SMVT BENGALURU,JASIDIH JN,1
22308,BKN HWH SF EXP,BIKANER JN,HOWRAH JN,10011
22311,GODA LTT EXP,GODDA,LOKMANYATILAK T,1
22312,LTT GODDA EXP,LOKMANYATILAK T,GODDA,1000
22323,SHABD BHEDI EXP,KOLKATA,GHAZIPUR CITY,1000
22324,SHABD BHEDI SF,GHAZIPUR CITY,KOLKATA,100
22356,CDG PPTA SF EXP,CHANDIGARH,PATLIPUTRA,1001000
22352,SMVB SHC EXP,SMVT BENGALURU,SAHARSA JN,1000000
22355,PPTA CDG SF EXP,PATLIPUTRA,CHANDIGARH,10001
22351,SHC SMVB EXP,SAHARSA JN,SMVT BENGALURU,100
22357,LTT GAYA SF EXP,LOKMANYATILAK T,GAYA JN,100
22358,GAYA LTT SUP EXP,GAYA JN,LOKMANYATILAK T,10000
22362,AMRIT BHARAT EXP,NEW DELHI,RJNDR NGR BIHAR,1111111
22402,UHP DEE AC SUP,MTYR C TUSHAR MAHAJAN,DELHI S ROHILLA,101001
22360,CSMT PNBE SF EXP,C SHIVAJI TERM MUMBAI,PATNA JN,100100
22401,DEE UHP AC SUP,DELHI S ROHILLA,MTYR C TUSHAR MAHAJAN,1010010
22361,AMRIT BHARAT EXP,RJNDR NGR BIHAR,NEW DELHI,1111111
22359,PNBE CSMT SF EXP,PATNA JN,C SHIVAJI TERM MUMBAI,10001
22387,BLACKDIAMOND EXP,HOWRAH JN,DHANBAD JN,1111111
22388,BLACKDIAMOND EXP,DHANBAD JN,HOWRAH JN,1111111
22403,PDY NDLS SF EXP,PUDUCHERRY,NEW DELHI,10000
22412,ARUNACHAL EXP,ANAND VIHAR TRM,NAHARLAGUN,1001
22417,MAHAMANA EXP,VARANASI JN,NEW DELHI,101010
22407,ABKP NZM SF EXP,AMBIKAPUR,H NIZAMUDDIN,1000
22404,NDLS PDY SF EXP,NEW DELHI,PUDUCHERRY,1
22408,NZM ABKP SF EXP,H NIZAMUDDIN,AMBIKAPUR,100000
22418,MAHAMANA EXP,NEW DELHI,VARANASI JN,1010100
22419,SUHAILDEV SF EXP,GHAZIPUR CITY,ANAND VIHAR TRM,1010101
22411,ARUNACHAL EXP,NAHARLAGUN,ANAND VIHAR TRM,100010
22420,SUHAILDEV SF EXP,ANAND VIHAR TRM,GHAZIPUR CITY,101011
22424,ASR GKP JANSADHARAN,AMRITSAR JN,GORAKHPUR JN,1
22422,SALASAR SUP FAST,JODHPUR JN,DELHI S ROHILLA,1111111
22421,SALASAR SUP FAST,DELHI S ROHILLA,JODHPUR JN,1111111
22427,BHRIGU SF EXP,BALLIA,ANAND VIHAR TRM,1
22428,BHRIGU SF EXP,ANAND VIHAR TRM,BALLIA,10
22423,GKP ASR JANSADHARAN,GORAKHPUR JN,AMRITSAR JN,1000000
22431,ALD UHP EXP,SUBEDARGANJ,MTYR C TUSHAR MAHAJAN,100010
22432,UHP ALD EXP,MTYR C TUSHAR MAHAJAN,SUBEDARGANJ,10001
22433,GCT ANVT SF EXP,GHAZIPUR CITY,ANAND VIHAR TRM,100010
22434,SUHAILDEV EXP,ANAND VIHAR TRM,GHAZIPUR CITY,1000100
22441,CKTD CNB INTERCITY,CHITRAKOOTDHAM,KANPUR CENTRAL,1111111
22442,CNB CKTD INTERCITY,KANPUR CENTRAL,CHITRAKOOTDHAM,1111111
22443,CNB BDTS EXP,KANPUR CENTRAL,BANDRA TERMINUS,10000
22445,CNB ASR SF EXP,KANPUR CENTRAL,AMRITSAR JN,1000000
22444,BDTS KANPUR EXP,BANDRA TERMINUS,KANPUR CENTRAL,100
22446,ASR CNB SF EXP,AMRITSAR JN,KANPUR CENTRAL,100000
22450,PORVOTR S KRNTI,NEW DELHI,GUWAHATI,10001
22449,PORVOTR S KRNTI,GUWAHATI,NEW DELHI,10010
22451,BDTS CDG SF EXP,BANDRA TERMINUS,CHANDIGARH,1001000
22452,CDG BDTS SF EXP,CHANDIGARH,BANDRA TERMINUS,10001
22453,RAJYA RANI EXP,LUCKNOW NE,MEERUT CITY,1111111
22456,KLK SNSI SF EXP,KALKA,SAINAGAR SHIRDI,1001
22454,RAJYA RANI EXP,MEERUT CITY,LUCKNOW NE,1111111
22461,SHRI SHAKTI EXP,NEW DELHI,MATA VAISHNO DEVI KATRA,1111111
22462,SHRI SHAKTI EXP,MATA VAISHNO DEVI KATRA,NEW DELHI,1111111
22463,RJSTHN S KRANTI,DELHI S ROHILLA,BIKANER JN,101
22455,SNSI KLK SUP EXP,SAINAGAR SHIRDI,KALKA,100010
22465,MDP ANVT SF EXP,MADHUPUR JN,ANAND VIHAR TRM,1000
22466,BABA V DHAM D SF,ANAND VIHAR TRM,MADHUPUR JN,10000
22468,GNC BSB EXP,GANDHINAGAR CAP,VARANASI JN,1000
22464,RJSTHN S KRNTI,BIKANER JN,DELHI S ROHILLA,100010
22473,BKN BDTS SF EXP,BIKANER JN,BANDRA TERMINUS,1000000
22471,DEE INTERCITY,LALGARH JN,DELHI S ROHILLA,1111111
22467,BSB GNC EXP,VARANASI JN,GANDHINAGAR CAP,10000
22472,BKN INTERCITY,DELHI S ROHILLA,LALGARH JN,1111111
22474,BDTS BKN SUP EXP,BANDRA TERMINUS,BIKANER JN,100000
22481,JU DEE SUP,JODHPUR JN,DELHI S ROHILLA,1111111
22476,CBE HSR AC EXP,COIMBATORE JN,HISAR,10
22484,JODHPUR EXPRESS,GANDHIDHAM BG,BHAGAT KI KOTHI,1111111
22483,JU GIMB SF EXP,BHAGAT KI KOTHI,GANDHIDHAM BG,1111111
22482,DEE JU SUP,DELHI S ROHILLA,JODHPUR JN,1111111
22485,FZR INTERCITY,NEW DELHI,FIROZPUR CANT,1000100
22486,N DELHI INTRCTY,FIROZPUR CANT,NEW DELHI,1000100
22491,MANDORE EXPRESS,JODHPUR JN,DELHI,1111111
22503,DBRG VIVEK EXP,KANYAKUMARI,DIBRUGARH,1111111
22492,MANDORE EXPRESS,DELHI,JODHPUR JN,1111111
22502,NTSK SMVB EXPRESS,NEW TINSUKIA JN,SMVT BENGALURU,100
22504,VIVEK EXPRESS,DIBRUGARH,KANYAKUMARI,1111111
22501,NEW TINSUKIA EXP,SMVT BENGALURU,NEW TINSUKIA JN,100000
22511,KARMABHOOMI EXP,LOKMANYATILAK T,KAMAKHYA,100000
22512,KARMABHOOMI EXP,KAMAKHYA,LOKMANYATILAK T,10
22533,GKP YPR EXPRESS,GORAKHPUR JN,YESVANTPUR JN,1000000
22534,YPR GORAKPUR EXP,YESVANTPUR JN,GORAKHPUR JN,10000
22538,KUSHINAGAR SF EXP,LOKMANYATILAK T,GORAKHPUR JN,1111111
22539,MAU ANVT SF EXP,MAU JN,ANAND VIHAR TRM,100100
22536,BSBS RMM EXP,BANARAS,RAMESWARAM,1
22535,RMM BSBS SF EXP,RAMESWARAM,BANARAS,10000
22540,ANVT MAU SF EXP,ANAND VIHAR TRM,MAU JN,10010
22543,BDTS LKU SF EXP,BANDRA TERMINUS,LAL KUAN,100000
22544,LKU BDTS SUP EXP,LAL KUAN,BANDRA TERMINUS,1000000
22548,ADI GWL SF EXP,SABARMATI BG,GWALIOR,100110
22547,GWL ADI SF EXP,GWALIOR,SABARMATI BG,10011
22582,NDLS BUI SF EXP,NEW DELHI,BALLIA,1100000
22583,JANSADHARAN EXP,CHHAPRA,LOKMANYATILAK T,100000
22581,BUI NDLS SF EXP,BALLIA,NEW DELHI,110000
22584,JANSADHARAN EXP,LOKMANYATILAK T,CHHAPRA,1000
22585,BNRS GNC EXP,BANARAS,GANDHINAGAR CAP,10000
22601,SHIRDI EXPRESS,CHENNAI CENTRAL,SAINAGAR SHIRDI,10000
22586,GNC BNRS EXP,GANDHINAGAR CAP,BANARAS,1000
22602,SNSI CHENNAI EXP,SAINAGAR SHIRDI,CHENNAI CENTRAL,100
22604,KHARAGPUR EXP,VILLUPURAM JN,KHARAGPUR JN,100000
22606,PURULIA EXPRESS,TIRUNELVELI JN,PURULIA JN,10010
22610,INTERCITY EXP,COIMBATORE JN,MANGALORE CNTL,1111111
22609,INTERCITY EXP,MANGALORE CNTL,COIMBATORE JN,1111111
22614,SHRADDHA SETHU,AYODHYA CANT,RAMESWARAM,10000
22612,NJP MAS EXPRESS,NEW JALPAIGURI,CHENNAI CENTRAL,100
22613,SHRADDHA SETHU,RAMESWARAM,AYODHYA CANT,1
22616,TIRUPATI SF EXP,COIMBATORE JN,TIRUPATI,101101
22618,TIRUPATHI EXP,SMVT BENGALURU,TIRUPATI,1010010
22622,CAPE RMM SF EXP,KANYAKUMARI,RAMESWARAM,101001
22617,TPTY SMVB SF EX,TIRUPATI,SMVT BENGALURU,100101
22623,MADURAI EXPRESS,TAMBARAM,MADURAI JN,101
22624,CHENNAI EXPRESS,MADURAI JN,TAMBARAM,1010
22627,TVC EXPRESS,TIRUCHCHIRAPALI,TRIVANDRUM CNTL,1111111
22628,TPJ EXPRESS,TRIVANDRUM CNTL,TIRUCHCHIRAPALI,1111111
22633,NIZAMUDDIN EXP,TRIVANDRUM CNTL,H NIZAMUDDIN,10000
22631,ANUVRAT EXPRESS,MADURAI JN,BIKANER JN,1000
22632,ANUVRAT EXP,BIKANER JN,MADURAI JN,1
22629,LTT TEN EXP,LOKMANYATILAK T,TIRUNELVELI JN,1000
22634,NZM TVC SF EXP,H NIZAMUDDIN,TRIVANDRUM CNTL,100
22636,MADGAON EXP,MANGALORE CNTL,MADGAON,1111111
22638,WEST COAST EXP,MANGALORE CNTL,CHENNAI CENTRAL,1111111
22635,MAQ INTERCITY EX,MADGAON,MANGALORE CNTL,1111111
22637,WEST COAST EXP,CHENNAI CENTRAL,MANGALORE CNTL,1111111
22639,ALLEPPEY EXP,CHENNAI CENTRAL,ALLEPPEY,1111111
22640,CHENNAI EXPRESS,ALLEPPEY,CHENNAI CENTRAL,1111111
22641,SHALIMAR EXP,TRIVANDRUM CNTL,SHALIMAR,1010
22644,PNBE ERS EXPRESS,PATNA JN,ERNAKULAM JN,1100
22643,PATNA EXPRESS,ERNAKULAM JN,PATNA JN,1100000
22646,AHILYANAGARI EX,TRIVANDRUM NORTH,INDORE JN BG,10
22650,YERCAUD EXP,ERODE JN,CHENNAI CENTRAL,1111111
22645,AHILYANAGARI EX,INDORE JN BG,TRIVANDRUM NORTH,1000000
22649,YERCAUD EXPRESS,CHENNAI CENTRAL,ERODE JN,1111111
22648,KORBA EXPRESS,TRIVANDRUM NORTH,KORBA,1001000
22647,KRBA KCVL EXPRES,KORBA,TRIVANDRUM NORTH,10010
22651,PALAKKAD EXP,CHENNAI CENTRAL,PALAKKAD JN,1111111
22652,PGT MAS EXPRESS,PALAKKAD JN,CHENNAI CENTRAL,1111111
22656,NZM ERS SF EXP,H NIZAMUDDIN,ERNAKULAM JN,100
22654,NZM TVC SF EXP,H NIZAMUDDIN,TRIVANDRUM CNTL,1000000
22657,TBM NCJ EXPRESS,TAMBARAM,NAGERCOIL JN,1010001
22655,ERS NZM SF EXP,ERNAKULAM JN,H NIZAMUDDIN,10000
22653,NIZAMUDDIN  EXP,TRIVANDRUM CNTL,H NIZAMUDDIN,100
22658,NCJ TBM EXPRESS,NAGERCOIL JN,TAMBARAM,1101000
22659,KCVL RISHIKESH EXP,TRIVANDRUM NORTH,YOGNAGARI RISHIKESH,100
22660,YNRK KCVL SF EXP,YOGNAGARI RISHIKESH,TRIVANDRUM NORTH,1000000
22661,RAMESWARAM EXP,CHENNAI EGMORE,RAMESWARAM,1111111
22663,MS JODHPUR EXP,TAMBARAM,JODHPUR JN,10
22662,RMM CHENNAI EXP,RAMESWARAM,TAMBARAM,1111111
22666,CBE SBC UDAY EXP,COIMBATORE JN,KSR BANGALORE CY JN,1111111
